sort,name,data_type,question,value,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
16,aase_9,numeric,When I dream about taking a drink,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
17,aase_10,numeric,When I want to test my willpower over drinking,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
18,aase_11,numeric,When I am feeling a physical need or craving for alcohol,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
19,aase_12,numeric,When I am physically tired,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
20,aase_13,numeric,When I am experiencing some physical pain or injury,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
21,aase_14,numeric,When I feel like blowing up because of frustration,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
22,aase_15,numeric,When I see others drinking at a bar or at a party,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
23,aase_16,numeric,When I sense everything is going wrong for me,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
24,aase_17,numeric,When people I used to drink with encourage me to drink,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
25,aase_18,numeric,When I am feeling angry inside,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
26,aase_19,numeric,When I experience an urge or impulse to take a drink that catches me unprepared,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
27,aase_20,numeric,When I am excited or celebrating with others,NA,NA,Not at all,Not very,Moderately,Very,Extremely,NA,NA
28,mam_1,numeric,What is your current living arrangement?,NA,NA,Independent (living on your own or with family/others),Homeless Shelter,Homeless Unsheltered,Other),,NA,NA
29,mam_1_1,character,"If other, please specify....",,NA,NA,NA,NA,NA,NA,NA,NA
30,mam_1_2,numeric,Do you live alone?,NA,NA,No,Yes,NA,NA,NA,NA,NA
31,mam_1_3_1,numeric,"Who do you live with? Spouse/Significant Other
",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA
32,mam_1_3_2,numeric,"Who do you live with? Child/Grandchild
",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA
33,mam_1_3_3,numeric,"Who do you live with? Parent
",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA
34,mam_1_3_4,numeric,"Who do you live with? Other Relative
",NA,Not selected,Selected,NA,NA,NA,NA,NA,NA
35,mam_1_3_5,numeric,Who do you live with? Non-Relative,NA,Not selected,Selected,NA,NA,NA,NA,NA,NA
36,mam_1_4,numeric,You selected that you live with a child/grandchild. How many children/grandchildren live in your household?,,NA,NA,NA,NA,NA,NA,NA,NA
37,mam_1_5,numeric,You selected that you live with a parent. How many parents live in your household?,,NA,NA,NA,NA,NA,NA,NA,NA
38,mam_1_6,numeric,You selected that you live with an other relative. How many other relatives live in your household?,,NA,NA,NA,NA,NA,NA,NA,NA
39,mam_1_7,numeric,You selected that you live with a non-relative. How many non-relatives live in your household?,,NA,NA,NA,NA,NA,NA,NA,NA
40,mam_2,numeric,Have you had any psychiatric hospitalizations in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
41,mam_3,numeric,Have you been arrested in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
42,mam_4,numeric,Have you spent at least one night in jail in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
43,mam_5,numeric,Were you a victim of any violent crime in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
44,mam_6,numeric,Were you a victim of any non-violent crime in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
45,mam_7,numeric,Have you been enrolled in an alcohol and drug abuse treatment program in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
46,mam_8,numeric,How many individual alcohol and drug abuse counseling sessions have you attended in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
47,mam_9,numeric,How many group alcohol and drug abuse counseling sessions have you attended in the past 30 days (not including AA or NA meetings)?,,NA,NA,NA,NA,NA,NA,NA,NA
48,mam_10,numeric,How many self-help meetings like AA or NA to support your recovery have you attended in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
49,mam_11,numeric,Have you been enrolled in other counseling sessions in the past 30 days (don't include drug and alcohol abuse counseling sessions)?,NA,NA,No,Yes,NA,NA,NA,NA,NA
50,mam_12,numeric,How many days have you attended other counseling in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
51,mam_13,numeric,How many days were you in contact or spend time with any family member or friends who are supportive of your recovery in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
52,mam_14,numeric,How many days were you in contact or spent time with any family member or friends who are not supportive of your recovery in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
53,mam_15,numeric,"How many days did you spend much of the time at work, school, or doing volunteer work in the past 30 days?",,NA,NA,NA,NA,NA,NA,NA,NA
54,mam_16,numeric,Has your religion or spirituality helped support your recovery in the past 30 days?,NA,NA,Not at all,Slightly,Moderately,Considerably,Extremely,NA,NA
55,mam_17,numeric,Have you taken prescribed medication to help maintain abstinence from alcohol in the past 30 days?,NA,NA,No,Yes,NA,NA,NA,NA,NA
56,mam_18,numeric,On how many days did you take your medication directly as prescribed in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
57,mam_19,numeric,Have you taken any prescribed other psychiatric medication in the past 30 days (for mental illness other than alcohol and drug addiction)?,NA,NA,No,Yes,NA,NA,NA,NA,NA
58,mam_20,numeric,On how many days did you take other psychiatric medication directly as prescribed in the past 30 days?,,NA,NA,NA,NA,NA,NA,NA,NA
59,mam_21,numeric,How satisfied are you with your progress toward achieving your recovery goals in the past 30 days?,NA,NA,Not at all,Slightly,Moderately,Considerably,Extremely,NA,NA
60,mam_22,numeric,Is your goal still to remain abstinent in the future?,NA,NA,No,Yes,Uncertain,NA,NA,NA,NA
61,mam_23,numeric,"In the next 30 days, how confident are you in your ability to be completely abstinent from alcohol?",NA,NA,Not at all,Slightly,Moderately,Considerably,Extremely,NA,NA
62,dass21_1,numeric, I found it hard to wind down,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
63,dass21_2,numeric, I was aware of dryness of my mouth,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
64,dass21_3,numeric, I couldn't seem to experience any positive feeling at all,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
65,dass21_4,numeric," I experienced breathing difficulty (e.g., excessively rapid breathing, breathlessness in the absence of physical exertion)",NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
66,dass21_5,numeric, I found it difficult to work up the initiative to do things,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
67,dass21_6,numeric, I tended to over-react to situations,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
68,dass21_7,numeric," I experienced trembling (e.g., in the hands)",NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
69,dass21_8,numeric, I felt that i was using a lot of nervous energy,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
70,dass21_9,numeric, I was worried about situations in which I might panic and make a fool of myself,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
71,dass21_10,numeric, I felt that I had nothing to look forward to,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
72,dass21_11,numeric, I found myself getting agitated,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
73,dass21_12,numeric, I found it difficult to relax,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
74,dass21_13,numeric, I felt down-hearted and blue,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
75,dass21_14,numeric, I was intolerant of anything that kept me from getting on with what I was doing,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
76,dass21_15,numeric, I felt I was close to panic,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
77,dass21_16,numeric, I was unable to become enthusiastic about anything,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
78,dass21_17,numeric, I felt I wasn't worth much as a person,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
79,dass21_18,numeric, I felt that I was rather touchy,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
80,dass21_19,numeric," I was aware of the action of my heart in the absence of physical exertion (e.g., sense of heart rate increase, heart missing a beat)",NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
81,dass21_20,numeric, I felt scared without any good reason,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
82,dass21_21,numeric, I felt that life was meaningless,NA,NA,Never,Once or Twice,Weekly ,Daily or Almost Daily,NA,NA,NA
83,pss_1,numeric,How often have you been upset because of something that happened unexpectedly?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
84,pss_2,numeric,How often have you felt that you were unable to control the important things in your life?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
85,pss_3,numeric,"How often have you felt nervous and ""stressed""?",NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
86,pss_4,numeric,How often have you felt confident about your ability to handle your personal problems?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
87,pss_5,numeric,How often have you felt that things were going your way?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
88,pss_6,numeric,How often have you found that you could not cope with all the things that you had to do?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
89,pss_7,numeric,How often have you been able to control irritations in your life?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
90,pss_8,numeric,How often have you felt that you were on top of things?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
91,pss_9,numeric,How often have you been angered because of things that were outside of your control?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
92,pss_10,numeric,How often have you felt difficulties were piling up so high that you could not overcome them?,NA,NA,Never,Almost Never,Sometimes,Fairly Often,Very Often,NA,NA
93,qol_1,numeric, How satisfied are you with your overall of quality of life?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
94,qol_2,numeric, How satisfied are you with your physical health?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
95,qol_3,numeric, How satisfied are you with your mental health?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
96,qol_4,numeric, How satisfied are you with your sleep?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
97,qol_5,numeric, How satisfied are you with your ability to perform your daily living activities?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
98,qol_6,numeric, How satisfied are you with your capacity for work?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
99,qol_7,numeric, How satisfied are you with yourself?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
100,qol_8,numeric, How satisfied are you with your personal relationships?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
101,qol_9,numeric, How satisfied are you with your sex life?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
102,qol_10,numeric, How satisfied are you with your opportunities for leisure activities?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
103,qol_11,numeric, How satisfied are you with the support you get from your friends?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
104,qol_12,numeric," How satisfied are you with the conditions of your living place (e.g, your house, apartment)?",NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
105,qol_13,numeric, How satisfied are you with the conditions of your neighborhood?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
106,qol_14,numeric, How satisfied are you with your access to health services?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
107,qol_15,numeric, How satisfied are you with your access to transportation?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
108,qol_16,numeric, How satisfied are you with your ability to concentrate?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
109,qol_17,numeric, How satisfied are you with your energy for everyday life?,NA,NA,Very disssatisfied,Dissatisfied,Neither satisfied or dissatisfied,Satisfied,Very satisfied,NA,NA
110,das_0,numeric,"Are you currently in a relationship with a spouse, boyfriend/girlfriend, or significant other?",NA,NA,No,Yes,NA,NA,NA,NA,NA
111,das_1,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Handling family finances,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
112,das_2,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Matters of recreation,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
113,das_3,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Religious matters,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
114,das_4,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Demonstrations of affection,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
115,das_5,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Friends,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
116,das_6,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Sex relations,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
117,das_7,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Conventionality (correct or proper behavior),NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
118,das_8,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Philosophy of life,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
119,das_9,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Ways of dealing with parents or in-laws,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
120,das_10,numeric,"Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Aims, goals, and things believed important",NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
121,das_11,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Amount of time spent together,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
122,das_12,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Making major decisions,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
123,das_13,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Household tasks,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
124,das_14,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Leisure time interests and activities,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
125,das_15,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Career decisions,NA,NA,Always Disagree,Almost Always Disagree,Frequently Disagree,Occasionally Disagree,Almost Always Agree,Always Agree,NA
126,das_16,numeric,"Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - How often do you discuss or have considered divorce, separation, or terminating your relationship?",NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
127,das_17,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - How often do you or your mate leave the house after a fight?,NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
128,das_18,numeric,"Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - In general, how often do you think that things between you and your partner are going well?",NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
129,das_19,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Do you confide in your mate?,NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
130,das_20,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - Do you ever regret that you married? (or lived together),NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
131,das_21,numeric,Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - How often do you and your partner quarrel?,NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
132,das_22,numeric,"Most persons have disagreements in their relationships. Please indicate below the approximate frequency of these disagreements between you and your partner for each item on the following list. - How often do you and your mate ""get on each other's nerves?""",NA,NA,Never,Rarely,Occasionally,More often than not,Most of the time,All the time,NA
133,das_23,numeric,Do you kiss your mate?,NA,NA,Never,Rarely,Occasionally,Almost Every Day,Every Day,NA,NA
134,das_24,numeric,Do you and your mate engage in outside interests together?,NA,NA,Never,Rarely,Occasionally,Almost Every Day,Every Day,NA,NA
135,das_25,numeric,How often would you say the following events occur between you and your mate? - Have a stimulating exchange of ideas,NA,NA,Never,Less than once a month,Once or twice a month,Once or twice a week,Once a day,More often,NA
136,das_26,numeric,How often would you say the following events occur between you and your mate? - Laugh together,NA,NA,Never,Less than once a month,Once or twice a month,Once or twice a week,Once a day,More often,NA
137,das_27,numeric,How often would you say the following events occur between you and your mate? - Calmly discuss something,NA,NA,Never,Less than once a month,Once or twice a month,Once or twice a week,Once a day,More often,NA
138,das_28,numeric,How often would you say the following events occur between you and your mate? - Work together on a project,NA,NA,Never,Less than once a month,Once or twice a month,Once or twice a week,Once a day,More often,NA
139,das_29,numeric,These are some things about which couples sometimes agree and sometime disagree. Indicate if either item below caused differences of opinions or were problems in your relationship during the past few weeks. - Being too tired for sex.,NA,NA,No,Yes,NA,NA,NA,NA,NA
140,das_30,numeric,These are some things about which couples sometimes agree and sometime disagree. Indicate if either item below caused differences of opinions or were problems in your relationship during the past few weeks. - Not showing love.,NA,NA,No,Yes,NA,NA,NA,NA,NA
141,das_31,numeric,"The middle point, ""happy,"" on this rating scale represents the degree of happiness of most relationships. Please select the option which best describes the degree of happiness, all things considered, of your relationship.  ",NA,NA,Extremely Unhappy,Fairly Unhappy,A Little Unhappy,Happy,Very Happy,Extremely Happy,Perfect
142,das_32,numeric,Which of the following statements best describes how you feel about the future of your relationship?,NA,NA,"My relationship can never succeed, and there is no more that I can do to keep the relationship going.","It would be nice if it succeeded, but I refuse to do any more than I am doing now to keep the relationship going.","It would be nice if my relationship succeeded, but I can’t do much more than I am doing now to help it succeed.","I want very much for my relationship to succeed, and will do my fair share to see that it does.","I want very much for my relationship to succeed, and will do all I can to see that it does.","I want desperately for my relationship to succeed, and would go to almost any length to see that it does.",NA
143,mspss_1,numeric,There is a special person who is around when I am in need.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
144,mspss_2,numeric,There is a special person with whom I can share my joys and sorrows.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
145,mspss_3,numeric,My family really tries to help me.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
146,mspss_4,numeric,I get the emotional help and support I need from my family.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
147,mspss_5,numeric,I have a special person who is a real source of comfort to me.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
148,mspss_6,numeric,My friends really try to help me.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
149,mspss_7,numeric,I can count on my friends when things go wrong.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
150,mspss_8,numeric,I can talk about my problems with my family.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
151,mspss_9,numeric,I have friends with whom I can share my joys and sorrows.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
152,mspss_10,numeric,There is a special person in my life who cares about my feelings.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
153,mspss_11,numeric,My family is willing to help me make decisions.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
154,mspss_12,numeric,I can talk about my problems with my friends.,NA,NA,Very Strongly Disagree,Strongly Disagree,Mildly Disagree,Neutral,Mildly Agree,Strongly Agree,Very Strongly Agree
155,assist_2_1,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Tobacco products (cigarettes, chewing tobacco, cigars, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
156,assist_2_2,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Cannabis (marijuana, pot, grass, hash, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
157,assist_2_3,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Cocaine (coke, crack, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
158,assist_2_4,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Amphetamine type stimulants (speed, diet pills, ecstasy, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
159,assist_2_5,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Inhalants (nitrous, glue, petrol, paint thinner, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
160,assist_2_6,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Sedatives or Sleeping Pills (Valium, Serepax, Rohypnol, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
161,assist_2_7,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Hallucinogens (LSD, acid, mushrooms, PCP, Special K, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
162,assist_2_8,numeric,"In the past month, how often have you used any of the substances below? (Non-Medical Use Only) - Opioids (heroin, morphine, methadone, codeine, etc.)",NA,NA,Never,Once or Twice,Weekly,Daily or Almost Daily,NA,NA,NA
